Time [s],Channel 0,Channel 1,Channel 2
0.061888750,0,1,0
0.061895250,1,1,0
0.061896250,1,1,1
0.067827750,1,1,0
0.067828750,1,0,0
0.067829500,0,0,0
0.067830000,0,1,0
0.067836000,0,0,0
0.067837000,0,1,0
0.067843000,0,0,0
0.067844250,0,1,0
0.067862500,0,0,0
0.067863750,0,1,0
0.067869750,0,0,0
0.067871000,0,1,0
0.067876750,0,0,0
0.067878000,0,1,0
0.067884000,0,0,0
0.067884500,1,0,0
0.067885250,1,1,0
0.067891000,1,0,0
0.067892250,1,1,0
0.067899750,1,0,0
0.067900500,0,0,0
0.067901000,0,1,0
0.067907000,0,0,0
0.067908250,0,1,0
0.067914000,0,0,0
0.067915250,0,1,0
0.067921250,0,0,0
0.067922500,0,1,0
0.067928250,0,0,0
0.067929500,0,1,0
0.067935500,0,0,0
0.067936750,0,1,0
0.067942500,0,0,0
0.067943250,1,0,0
0.067943750,1,1,0
0.067949750,1,0,0
0.067950250,0,0,0
0.067950750,0,1,0
0.067957250,1,1,0
0.067958250,1,1,1
0.073831250,1,1,0
0.073832250,1,0,0
0.073833500,1,1,0
0.073839500,1,0,0
0.073840000,0,0,0
0.073840750,0,1,0
0.073846500,0,0,0
0.073847750,0,1,0
0.073866250,0,0,0
0.073867500,0,1,0
0.073873250,0,0,0
0.073874500,0,1,0
0.073880500,0,0,0
0.073881500,0,1,0
0.073887500,0,0,0
0.073888250,1,0,0
0.073888750,1,1,0
0.073894750,1,0,0
0.073895750,1,1,0
0.073903500,1,0,0
0.073904000,0,0,0
0.073904750,0,1,0
0.073910500,0,0,0
0.073911750,0,1,0
0.073917750,0,0,0
0.073919000,0,1,0
0.073924750,0,0,0
0.073926000,0,1,0
0.073932000,0,0,0
0.073933000,0,1,0
0.073939000,0,0,0
0.073940250,0,1,0
0.073946000,0,0,0
0.073947250,0,1,0
0.073953250,0,0,0
0.073954500,0,1,0
0.073960750,1,1,0
0.073961750,1,1,1
0.079837000,1,1,0
0.079838000,1,0,0
0.079839250,1,1,0
0.079845250,1,0,0
0.079846500,1,1,0
0.079852250,1,0,0
0.079853000,0,0,0
0.079853500,0,1,0
0.079872000,0,0,0
0.079872500,1,0,0
0.079873250,1,1,0
0.079879000,1,0,0
0.079879750,0,0,0
0.079880250,0,1,0
0.079886250,0,0,0
0.079887500,0,1,0
0.079893250,0,0,0
0.079894500,0,1,0
0.079900500,0,0,0
0.079901000,1,0,0
0.079901750,1,1,0
0.079909000,1,1,1
0.086841500,1,1,0
0.086842500,1,0,0
0.086843000,0,0,0
0.086843750,0,1,0
0.086849500,0,0,0
