Time [s],Channel 0,Channel 1,Channel 2
0.119400250,0,0,0
0.119401500,0,1,0
0.119407250,0,0,0
0.119408500,0,1,0
0.119415000,1,1,0
0.119415750,1,1,1
0.125290500,1,1,0
0.125291500,1,0,0
0.125292750,1,1,0
0.125298500,1,0,0
0.125299750,1,1,0
0.125305750,1,0,0
0.125306250,0,0,0
0.125307000,0,1,0
0.125325000,0,0,0
0.125325750,1,0,0
0.125326250,1,1,0
0.125332250,1,0,0
0.125332750,0,0,0
0.125333250,0,1,0
0.125339250,0,0,0
0.125340500,0,1,0
0.125346250,0,0,0
0.125347500,0,1,0
0.125353500,0,0,0
0.125354250,1,0,0
0.125354750,1,1,0
0.125362000,1,1,1
0.132294250,1,1,0
0.132295250,1,0,0
0.132296000,0,0,0
0.132296500,0,1,0
0.132302500,0,0,0
0.132303000,1,0,0
0.132303750,1,1,0
0.132309500,1,0,0
0.132310250,0,0,0
0.132310750,0,1,0
0.132328750,0,0,0
0.132330000,0,1,0
0.132336000,0,0,0
0.132337250,0,1,0
0.132343000,0,0,0
0.132344250,0,1,0
0.132350250,0,0,0
0.132350750,1,0,0
0.132351500,1,1,0
0.132357250,1,0,0
0.132358000,0,0,0
0.132358500,0,1,0
0.132365000,1,1,0
0.132382750,1,0,0
0.132383000,0,0,0
0.132388750,0,1,0
0.132395250,0,0,0
0.132401250,0,1,0
0.132407750,0,0,0
0.132413750,0,1,0
0.132420000,0,0,0
0.132426000,0,1,0
0.132432500,0,0,0
0.132438500,0,1,0
0.132444750,0,0,0
0.132450750,0,1,0
0.132457250,0,0,0
0.132463250,0,1,0
0.132469500,0,0,0
0.132475500,0,1,0
0.132483250,0,0,0
0.132489250,0,1,0
0.132495750,0,0,0
0.132501500,0,1,0
0.132508000,0,0,0
0.132514000,0,1,0
0.132520500,0,0,0
0.132526500,0,1,0
0.132532750,0,0,0
0.132538750,0,1,0
0.132545250,0,0,0
0.132551250,0,1,0
0.132557500,0,0,0
0.132563500,0,1,0
0.132570000,0,0,0
0.132576000,0,1,0
0.132583750,0,0,0
0.132589500,0,1,0
0.132596000,0,0,0
0.132602000,0,1,0
0.132608500,0,0,0
0.132614500,0,1,0
0.132620750,0,0,0
0.132626750,0,1,0
0.132633250,0,0,0
0.132639250,0,1,0
0.132645500,0,0,0
0.132651500,0,1,0
0.132658000,0,0,0
0.132664000,0,1,0
0.132670250,0,0,0
0.132676250,0,1,0
0.132684000,0,0,0
0.132690000,0,1,0
0.132696500,0,0,0
0.132702500,0,1,0
0.132708750,0,0,0
0.132714750,0,1,0
0.132721250,0,0,0
0.132727250,0,1,0
0.132733500,0,0,0
0.132739500,0,1,0
0.132746000,0,0,0
0.132752000,0,1,0
0.132758250,0,0,0
0.132764250,0,1,0
0.132770750,0,0,0
0.132776750,0,1,0
0.132784500,0,0,0
0.132790500,0,1,0
0.132796750,0,0,0
0.132802750,0,1,0
0.132809250,0,0,0
0.132815250,0,1,0
0.132821750,0,0,0
0.132827500,0,1,0
0.132834000,0,0,0
0.132840000,0,1,0
0.132846500,0,0,0
0.132852500,0,1,0
0.132858750,0,0,0
0.132864750,0,1,0
0.132871250,0,0,0
0.132877250,0,1,0
0.132884500,0,1,1
0.132884750,1,1,1
0.139301000,1,1,0
0.139302000,1,0,0
0.139303250,1,1,0
0.139309000,1,0,0
0.139310250,1,1,0
0.139316250,1,0,0
0.139316750,0,0,0
0.139317500,0,1,0
0.139335500,0,0,0
0.139336750,0,1,0
0.139342500,0,0,0
0.139343750,0,1,0
0.139349750,0,0,0
0.139351000,0,1,0
0.139356750,0,0,0
0.139358000,0,1,0
0.139364000,0,0,0
0.139365250,0,1,0
0.139371500,1,1,0
0.139372500,1,1,1
0.145306000,1,1,0
0.145307000,1,0,0
0.145307500,0,0,0
0.145308250,0,1,0
0.145314000,0,0,0
0.145315250,0,1,0
0.145321250,0,0,0
0.145322500,0,1,0
0.145340500,0,0,0
0.145341500,0,1,0
0.145347500,0,0,0
0.145348750,0,1,0
0.145354500,0,0,0
0.145355750,0,1,0
0.145361750,0,0,0
0.145362500,1,0,0
0.145363000,1,1,0
0.145368750,1,0,0
0.145369500,0,0,0
0.145370000,0,1,0
0.145376500,1,1,0
0.145377500,1,1,1
0.151310000,1,1,0
0.151310750,1,0,0
0.151311500,0,0,0
0.151312000,0,1,0
0.151318000,0,0,0
0.151319250,0,1,0
0.151325000,0,0,0
0.151326250,0,1,0
0.151344500,0,0,0
0.151345750,0,1,0
0.151351500,0,0,0
0.151352750,0,1,0
0.151358750,0,0,0
0.151359750,0,1,0
